// Total Frames: 2656 
// Name  Frame  Time  x  y  z
// ===========================
RightHand 766 6.383333 -0.079125 1.095143 0.241711
RightHand 767 6.391667 -0.061291 1.138695 0.236727
RightHand 768 6.4 -0.046429 1.183592 0.233245
RightHand 769 6.408333 -0.034219 1.228771 0.231122
RightHand 770 6.416667 -0.024897 1.274337 0.229736
RightHand 771 6.425 -0.017566 1.318936 0.23034
RightHand 772 6.433333 -0.012879 1.363031 0.231994
RightHand 773 6.441667 -0.009732 1.40703 0.234177
RightHand 774 6.45 -0.008528 1.45 0.235776
RightHand 775 6.458333 -0.009404 1.49224 0.237409
RightHand 776 6.466667 -0.010926 1.533804 0.238249
RightHand 777 6.475 -0.014311 1.573945 0.238226
RightHand 778 6.483333 -0.019004 1.612622 0.238352
RightHand 779 6.491667 -0.023321 1.650725 0.239324
RightHand 780 6.5 -0.02763 1.686757 0.241469
RightHand 781 6.508333 -0.032459 1.722146 0.243844
RightHand 782 6.516667 -0.037798 1.75633 0.245577
RightHand 783 6.525 -0.044212 1.788972 0.245886
RightHand 784 6.533333 -0.050478 1.820598 0.245633
RightHand 785 6.541667 -0.056819 1.850821 0.244354
RightHand 786 6.55 -0.062506 1.880275 0.242949
RightHand 787 6.558333 -0.067998 1.908418 0.24124
RightHand 788 6.566667 -0.073251 1.936004 0.239698
RightHand 789 6.575 -0.077926 1.962711 0.238655
RightHand 790 6.583333 -0.082179 1.988654 0.238048
RightHand 791 6.591667 -0.086569 2.013763 0.23735
RightHand 792 6.6 -0.090673 2.037734 0.236588
RightHand 793 6.608333 -0.095445 2.060824 0.235284
RightHand 794 6.616667 -0.100551 2.082717 0.233437
RightHand 795 6.625 -0.106318 2.103339 0.230719
RightHand 796 6.633333 -0.112551 2.122712 0.227605
RightHand 797 6.641667 -0.119361 2.140819 0.223792
RightHand 798 6.65 -0.12671 2.157714 0.219363
RightHand 799 6.658333 -0.134281 2.17329 0.214237
RightHand 800 6.666667 -0.141843 2.188057 0.209228
RightHand 801 6.675 -0.149094 2.201918 0.203389
RightHand 802 6.683333 -0.15585 2.214463 0.197481
RightHand 803 6.691667 -0.162223 2.226222 0.191267
RightHand 804 6.7 -0.168475 2.236837 0.184796
RightHand 805 6.708333 -0.174203 2.246569 0.178331
RightHand 806 6.716667 -0.179674 2.255357 0.171915
RightHand 807 6.725 -0.185121 2.263125 0.165329
RightHand 808 6.733333 -0.190456 2.269878 0.158595
RightHand 809 6.741667 -0.195629 2.275686 0.151672
RightHand 810 6.75 -0.200676 2.280628 0.144897
RightHand 811 6.758333 -0.206016 2.284557 0.137839
RightHand 812 6.766667 -0.211249 2.287332 0.130796
RightHand 813 6.775 -0.216622 2.289169 0.123781
RightHand 814 6.783333 -0.222069 2.289835 0.116772
RightHand 815 6.791667 -0.227214 2.289741 0.110378
RightHand 816 6.8 -0.232397 2.288926 0.104257
RightHand 817 6.808333 -0.237761 2.286863 0.098376
RightHand 818 6.816667 -0.243242 2.283991 0.092877
RightHand 819 6.825 -0.248933 2.279715 0.08771
RightHand 820 6.833333 -0.25452 2.274511 0.082842
RightHand 821 6.841667 -0.260681 2.268074 0.078263
RightHand 822 6.85 -0.266925 2.260268 0.074005
RightHand 823 6.858333 -0.273205 2.251344 0.070293
RightHand 824 6.866667 -0.279605 2.241151 0.066941
RightHand 825 6.875 -0.28602 2.229915 0.063929
RightHand 826 6.883333 -0.292351 2.217719 0.06151
RightHand 827 6.891667 -0.298738 2.204609 0.059441
RightHand 828 6.9 -0.305025 2.190412 0.057797
RightHand 829 6.908333 -0.311095 2.175552 0.056776
RightHand 830 6.916667 -0.317024 2.159062 0.056698
RightHand 831 6.925 -0.322698 2.141565 0.056248
RightHand 832 6.933333 -0.328019 2.1228 0.05678
RightHand 833 6.941667 -0.333292 2.102385 0.057463
RightHand 834 6.95 -0.338287 2.081259 0.059253
RightHand 835 6.958333 -0.342915 2.058549 0.060436
RightHand 836 6.966667 -0.347734 2.035406 0.06267
